Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,50.0,50.0,50.0,50.0,50.0,7100
2021-03-02,50.0,50.0,50.0,50.0,50.0,2200
2021-03-03,50.0,50.0,50.0,50.0,50.0,1600
2021-03-04,50.0,50.0,50.0,50.0,50.0,1200
2021-03-05,50.0,50.0,50.0,50.0,50.0,5300
2021-03-08,50.0,50.0,50.0,50.0,50.0,100
2021-03-09,50.0,50.0,50.0,50.0,50.0,7000
2021-03-10,50.0,50.0,50.0,50.0,50.0,400
2021-03-12,50.0,50.0,50.0,50.0,50.0,400
2021-03-15,50.0,50.0,50.0,50.0,50.0,100
2021-03-16,50.0,50.0,50.0,50.0,50.0,1500
2021-03-17,50.0,50.0,50.0,50.0,50.0,900
2021-03-18,50.0,50.0,50.0,50.0,50.0,28200
2021-03-19,50.0,50.0,50.0,50.0,50.0,205800
2021-03-22,50.0,50.0,50.0,50.0,50.0,300
2021-03-23,50.0,50.0,50.0,50.0,50.0,2600
2021-03-24,50.0,50.0,50.0,50.0,50.0,300
2021-03-25,50.0,50.0,50.0,50.0,50.0,6700
2021-03-26,50.0,50.0,50.0,50.0,50.0,4600
2021-03-29,50.0,50.0,50.0,50.0,50.0,5700
2021-03-30,50.0,50.0,50.0,50.0,50.0,6600
2021-03-31,50.0,50.0,50.0,50.0,50.0,11200
2021-04-01,50.0,50.0,50.0,50.0,50.0,200
2021-04-05,50.0,50.0,50.0,50.0,50.0,24300
2021-04-06,50.0,50.0,50.0,50.0,50.0,1100
2021-04-07,50.0,50.0,50.0,50.0,50.0,200
2021-04-08,50.0,50.0,50.0,50.0,50.0,304500
2021-04-09,50.0,50.0,50.0,50.0,50.0,3700
2021-04-12,50.0,50.0,50.0,50.0,50.0,0
2021-04-14,50.0,50.0,50.0,50.0,50.0,1200
