Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,50.0,50.0,50.0,50.0,50.0,700
2021-03-02,50.0,50.0,50.0,50.0,50.0,3100
2021-03-03,50.0,50.0,50.0,50.0,50.0,21300
2021-03-04,50.0,50.0,50.0,50.0,50.0,100
2021-03-05,50.0,50.0,50.0,50.0,50.0,1800
2021-03-08,50.0,50.0,50.0,50.0,50.0,100
2021-03-09,50.0,50.0,50.0,50.0,50.0,100
2021-03-10,50.0,50.0,50.0,50.0,50.0,0
2021-03-12,50.0,50.0,50.0,50.0,50.0,2400
2021-03-15,50.0,50.0,50.0,50.0,50.0,7800
2021-03-16,50.0,50.0,50.0,50.0,50.0,500
2021-03-17,50.0,50.0,50.0,50.0,50.0,21800
2021-03-18,50.0,50.0,50.0,50.0,50.0,8100
2021-03-19,50.0,50.0,50.0,50.0,50.0,90200
2021-03-22,50.0,50.0,50.0,50.0,50.0,41100
2021-03-23,50.0,50.0,50.0,50.0,50.0,14000
2021-03-24,50.0,50.0,50.0,50.0,50.0,1000
2021-03-25,50.0,50.0,50.0,50.0,50.0,2000
2021-03-26,50.0,50.0,50.0,50.0,50.0,100
2021-03-29,50.0,50.0,50.0,50.0,50.0,0
2021-03-30,50.0,50.0,50.0,50.0,50.0,100
2021-03-31,50.0,50.0,50.0,50.0,50.0,100
2021-04-01,50.0,50.0,50.0,50.0,50.0,0
2021-04-05,50.0,50.0,50.0,50.0,50.0,100
2021-04-06,50.0,50.0,50.0,50.0,50.0,100
2021-04-07,50.0,50.0,50.0,50.0,50.0,3000
2021-04-08,50.0,50.0,50.0,50.0,50.0,2000
2021-04-09,50.0,50.0,50.0,50.0,50.0,800
2021-04-12,50.0,50.0,50.0,50.0,50.0,161400
2021-04-13,50.0,50.0,50.0,50.0,50.0,0
2021-04-14,50.0,50.0,50.0,50.0,50.0,2900
